id,Videocard Name,Passmark G3D Mark(higher is better),Rank(lower is better),Videocard Value(higher is better),Price(USD)
2305,Radeon Ryzen 7 PRO 7730U,2294,776,NA,NA
2306,Radeon Ryzen 7 Pro 7735U,3899,549,NA,NA
2307,Radeon Ryzen 7 PRO 7745 8-Core,1657,982,NA,NA
2308,Radeon Ryzen 9 4900H,2599,708,NA,NA
2309,Radeon Ryzen 9 4950U Mobile,2594,710,NA,NA
2310,Radeon Ryzen 9 5900H,2134,818,NA,NA
2311,Radeon Ryzen 9 6900HS,6602,360,NA,NA
2312,Radeon Ryzen 9 6900HS Creator Edition,5155,448,NA,NA
2313,Radeon Ryzen 9 7900 12-Core,1993,865,NA,NA
2314,Radeon Ryzen 9 7900X 12-Core,2296,775,NA,NA
2315,Radeon Ryzen 9 7900X3D 12-Core,1774,940,NA,NA
2316,Radeon Ryzen 9 7950X 16-Core,3304,613,NA,NA
2317,Radeon Ryzen 9 7950X3D 16-Core,1657,983,NA,NA
2318,Radeon Ryzen 9 PRO 6950H,5764,399,NA,NA
2319,Radeon Ryzen 9 PRO 6950HS,4427,517,NA,NA
2320,Radeon Ryzen 9 PRO 7945 12-Core,1626,995,NA,NA
2321,Radeon Ryzen Embedded R2312,853,1334,NA,NA
2322,Radeon Ryzen Embedded R2314,997,1243,NA,NA
2323,Radeon Ryzen Embedded R2514,1581,1014,NA,NA
2324,Radeon Ryzen Embedded R2544,1864,912,NA,NA
2325,Radeon Ryzen Embedded V2516,1723,954,NA,NA
2326,Radeon Ryzen Embedded V2546,1435,1065,NA,NA
2327,Radeon Ryzen Embedded V2718,1998,858,NA,NA
2328,Radeon Ryzen Embedded V2748,2216,800,NA,NA
2329,Radeon Ryzen Z2 Go,4989,465,NA,NA
2330,Radeon Sky 500,4709,492,NA,NA
2331,Radeon TM,5605,407,NA,NA
2332,Radeon TM R9 A360,2060,841,NA,NA
2333,Radeon VE,2,2682,NA,NA
2334,Radeon Vega 10,1544,1026,NA,NA
2335,Radeon Vega 10 Mobile,1528,1033,NA,NA
2336,Radeon Vega 10 Ryzen 7 PRO 3700U w/,1580,1015,NA,NA
2337,Radeon Vega 11,1864,913,NA,NA
2338,Radeon Vega 11 Ryzen 5 PRO 3350G,2185,806,NA,NA
2339,Radeon Vega 11 Ryzen 5 PRO 3400G,2007,856,NA,NA
2340,Radeon Vega 11 Ryzen 5 PRO 3400GE w/,1383,1079,NA,NA
2341,Radeon Vega 2,506,1724,NA,NA
2342,Radeon Vega 2 Athlon Silver 3050U,521,1705,NA,NA
2343,Radeon Vega 3,889,1314,0.33,"$2,677.99*"
2344,Radeon Vega 3 3020e,553,1659,NA,NA
2345,Radeon Vega 3 Athlon 3000G,954,1266,NA,NA
2346,Radeon Vega 3 Athlon 300GE,1044,1216,NA,NA
2347,Radeon Vega 3 Athlon 300U,832,1355,NA,NA
2348,Radeon Vega 3 Athlon 320GE,677,1501,NA,NA
2349,Radeon Vega 3 Athlon Gold 3150G,1088,1191,NA,NA
2350,Radeon Vega 3 Athlon Gold 3150U,668,1508,NA,NA
2351,Radeon Vega 3 Athlon Gold PRO 3150G,671,1506,NA,NA
2352,Radeon Vega 3 Athlon PRO 300GE w/,1010,1230,NA,NA
2353,Radeon Vega 3 Athlon Silver 3050e,485,1745,NA,NA
2354,Radeon Vega 3 Athlon Silver 3050U,874,1319,NA,NA
2355,Radeon Vega 3 Mobile,1047,1214,NA,NA
2356,Radeon Vega 3 Ryzen 3 3200U,837,1348,NA,NA
