,coolpc_id,coolpc_name,benchmark_name,mark,rank,value,benchmark_price
330,50,AMD R7 5700X,7,Allwinner A527,"2,297",3053,nan
331,50,AMD R7 5700X,57,AMD A4 PRO-7350B,"1,544",3556,nan
332,50,AMD R7 5700X,70,AMD A4-4020 APU,"1,269",3756,12.05
333,50,AMD R7 5700X,570,AMD EPYC 9454P,"95,858",29,27.78
334,50,AMD R7 5700X,700,AMD Opteron 285,956,4077,38.3
335,54,AMD R5 7500F MPK(含風扇),0,AArch64,833,4213,nan
336,54,AMD R5 7500F MPK(含風扇),5,Allwinner A133,668,4413,nan
337,54,AMD R5 7500F MPK(含風扇),7,Allwinner A527,"2,297",3053,nan
338,54,AMD R5 7500F MPK(含風扇),50,AMD A12-9720P,"2,639",2855,nan
339,54,AMD R5 7500F MPK(含風扇),75,AMD A4-5100 APU,"1,260",3766,nan
340,54,AMD R5 7500F MPK(含風扇),500,AMD EPYC 74F3,"60,666",111,29.05
341,54,AMD R5 7500F MPK(含風扇),750,AMD Opteron X3216 APU,"1,512",3582,nan
342,56,AMD R5 7600,0,AArch64,833,4213,nan
343,56,AMD R5 7600,5,Allwinner A133,668,4413,nan
344,56,AMD R5 7600,6,Allwinner A523,"1,906",3297,nan
345,56,AMD R5 7600,7,Allwinner A527,"2,297",3053,nan
346,56,AMD R5 7600,60,AMD A4-1350 APU,911,4122,nan
347,56,AMD R5 7600,76,AMD A4-5150M APU,957,4074,nan
348,56,AMD R5 7600,600,AMD FX-4300 Quad-Core,"2,990",2691,62.27
349,56,AMD R5 7600,760,AMD Phenom 8650 Triple-Core,"1,218",3803,48.63
350,57,AMD R7 7700 MPK(代理含風扇),0,AArch64,833,4213,nan
351,57,AMD R7 7700 MPK(代理含風扇),7,Allwinner A527,"2,297",3053,nan
